,Iteration,Total_Reward
0,0,19.63157894736842
1,100,61.05263157894737
2,200,38.578947368421055
3,300,121.21052631578948
4,400,82.73684210526316
5,500,210.52631578947367
6,600,93.73684210526316
7,700,45.36842105263158
8,800,105.63157894736842
9,900,126.94736842105263
10,1000,114.94736842105263
11,1100,139.8421052631579
12,1200,126.05263157894737
13,1300,123.63157894736842
14,1400,210.52631578947367
15,1500,210.52631578947367
16,1600,128.73684210526315
17,1700,141.3684210526316
18,1800,156.3684210526316
19,1900,130.8421052631579
